iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COL,Colombia,4016.80951748167,4020.50789754842,4058.28493578738,4154.17528523618,4311.91591255233,4457.27537460443,4694.03442939175,4947.25260813108,5048.57187245249,5046.97121757727,5214.24547620131,5517.1011086899,5675.75617978305,5910.80592301166,6121.83982019825,6248.51490534512,6316.07067782542,6309.67745292518,6353.5464285392,6439.96359812647,5891.95523215403
COM,Comoros,1150.82840106354,1188.50107049357,1217.11501559943,1216.98036712949,1231.14746798849,1274.6143662974,1227.24636392125,1212.69629084896,1235.97247187374,1250.90035344227,1272.60650664705,1299.11099021922,1313.5812493744,1343.5451171047,1342.32802421364,1329.37048235986,1345.62555739306,1369.41038262485,1391.84620461012,1389.36430643805,1359.70624686714
CPV,Cabo Verde,2037.31720912714,2051.21733888102,2127.70872296502,2186.89500422765,2379.79636224135,2514.16779255327,2683.83943856892,3056.97102851154,3238.44159287498,3159.58698693977,3194.61667734233,3309.20121643898,3341.7421054836,3361.09387702205,3383.8422809791,3415.06266730931,3560.1400729534,3719.71306047915,3853.67940035241,4115.90283469406,3255.93628984058
CRI,Costa Rica,7726.51985682031,7854.2339580182,7989.55926102157,8207.45746763047,8445.52914945791,8655.33965418585,9160.29437453236,9779.51149389818,10104.9092039691,9883.67567046297,10285.0856660419,10612.4694861141,11001.5192856576,11151.1437869768,11422.6735793176,11714.7105980732,12084.4351325634,12468.5654531709,12679.5253643016,12877.650101079,12242.2098908533
CSS,Caribbean small states,10510.8694258103,10648.8703596983,10985.8632347623,11563.3614779162,12014.5670017555,12638.9654635453,13550.3562471238,13982.598007093,14130.2413806317,13578.6986655384,13743.4073853565,13773.5645177114,14236.6654344554,14333.3457750583,14605.7774648313,14497.5393236017,13963.1395387692,13780.3075342487,13815.7947601283,13825.4223050228,12531.5018423504
CUB,Cuba,4112.26168350671,4229.90309433356,4277.39565642359,4426.96599591833,4670.18802138025,5182.35283601732,5799.41163668615,6215.76603727772,6469.08507847668,6561.25305093006,6716.49048497058,6902.16397571139,7109.24834185635,7307.82004410741,7392.48324633027,7727.91997207998,7774.0698462623,7927.27769431767,8120.43123558256,8124.75282059108,7252.28811179844
CUW,Curacao,21523.645846078,22171.0654932071,22231.8792561824,21840.8912647914,21512.1115522523,21112.3218717015,20913.6629896021,21011.1570121301,21202.4304610307,20952.8997952543,20706.437408421,20518.0985782641,20277.5112566223,19921.4771792975,19529.5285930905,19361.8129630226,18953.0538552203,18651.4796966993,18355.1765793615,17980.5297947929,14849.9696941839
CYM,Cayman Islands,,,,,,,96066.629965728,96202.7389296237,93115.3176374189,84001.4219797545,79483.0963975025,78233.0182694571,77074.3886285602,76038.8787807923,76104.621790038,76379.2098777987,77031.864216869,77717.1760762284,79305.7692066005,80714.5721513481,75199.6446248648
CYP,Cyprus,22383.96484375,23019.25,23604.189453125,23930.783203125,24799.6484375,25631.3671875,26395.50390625,27156.818359375,27449.2265625,26183.685546875,26090.048828125,25538.78125,24285.49609375,22711.71875,22373.578125,23088.44140625,24477.986328125,25666.00390625,26962.40625,28167.16015625,26895.68359375
CZE,Czechia,12543.9364342367,12958.4667607533,13179.9878092741,13618.9349633164,14259.63342798,15147.7214417611,16107.3042502688,16892.542854974,17190.6470333289,16272.8084766719,16665.9317825137,16926.2846674435,16772.3539223328,16759.7808635642,17118.0425571578,17931.5987670768,18359.0978103904,19257.6930680911,19736.6295261285,20360.0599221814,19233.1469549829
