ISO code,Country,Variable code,Variable name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARE,United Arab Emirates,avh,Average annual hours worked by persons engaged,,,,,,,2627.78,2613.4,2603.41,2593.24,2609.92,2615.65,2618.8,2624.65,2633.66,2644.73,2661.13,2671.65,2680.97,2691.72,2706.89,2578.15,2657.34,2621.51,2514.45
ARE,United Arab Emirates,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",174654.515625,199678.40625,214751.953125,227582.265625,233204.6875,255639.578125,265133,298886.96875,331738.65625,376866.15625,289113.0625,284624.125,318991.8125,289828.59375,304100.09375,305644.875,301829.9375,296153.875,301245.65625,323638.125,350611.21875,343300.15625,314354.875,361007.09375,402773.125
ARE,United Arab Emirates,cn,Capital stock at current PPPs (in mil. 2021US$),1757763.625,1812872,1872792.75,1940318,2020494.25,2103580.75,2201865.25,2311529.75,2487315.5,2659162.25,2841829.75,2982317.25,3111479.5,2907521.75,2828598.75,4135656.75,4267525,4423458.5,4332636,4057753.25,4294786.5,5296067.5,5493170,5720709.5,5953913.5
ARE,United Arab Emirates,emp,Number of persons engaged (in millions),1.68244552612305,1.77900004386902,1.91280710697174,2.05034399032593,2.19122195243835,2.33467435836792,2.4798800945282,2.87979602813721,3.50621652603149,4.24502229690552,4.93082809448242,5.29727029800415,5.40013456344605,5.50612878799439,5.6055154800415,5.6990852355957,5.79295063018799,5.88495969772339,5.91480779647827,5.99971389770508,6.06397247314453,5.95329856872559,5.99940490722656,6.12584590911865,6.20071983337402
ARE,United Arab Emirates,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.56848430633545,2.61078405380249,2.62868571281433,2.64671063423157,2.6648588180542,2.6831316947937,2.70152950286865,2.70470285415649,2.70787954330444,2.71106028556824,2.71424436569214,2.71743273735046,2.74564242362976,2.77414512634277,2.80294370651245,2.8320415019989,2.86144089698792,2.89114570617676,3.11606049537659,3.19747185707092,3.23897194862366,3.24693775177002,3.25492286682129,3.29919362068176,3.30434536933899
ARG,Argentina,avh,Average annual hours worked by persons engaged,1887.29,1862.14,1811.15,1710.04,1713.57,1743.4,1771.68,1775.92,1787.54,1789.76,1751.62,1760.22,1760.23,1736.1,1725.87,1705.43,1703.47,1646.51,1648.81,1638.44,1612.12,1528.56,1612.12,1528.56,1612.12
ARG,Argentina,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",472351.625,460727.84375,431003.59375,370754.0625,393669.40625,423675.15625,462925.46875,510178.875,561648.375,611324.875,603423.0625,689527.75,784812.4375,802500.625,825084,806869.625,856482.0625,856016,981888.5,1034199.4375,965162.125,906039.75,996947.25,1073467.5,1083098.75
ARG,Argentina,cn,Capital stock at current PPPs (in mil. 2021US$),2125951,2079513.125,2021629.375,1910502.875,1887050,1902409.875,1952913.25,2052343.375,2238584.5,2500285.75,2750466.5,3031695.75,3284094,3362780.25,3398672.5,3444320.25,3512942.25,3481090.5,3665912.75,3878835.75,4035455,4382449.5,4714402.5,4855723,4962359.5
ARG,Argentina,emp,Number of persons engaged (in millions),13.461275100708,13.5983610153198,13.505482673645,13.4126663208008,14.0691041946411,14.9968576431274,15.7495889663696,16.2981224060059,16.9614124298096,17.3702507019043,17.5620536804199,18.0767459869385,18.4880313873291,18.7912883758545,19.124418258667,19.3830509185791,19.8544502258301,19.7231750488281,20.0336608886719,20.1350708007813,20.6432781219482,18.7495632171631,20.9869899749756,22.083532333374,22.7903251647949
ARG,Argentina,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.64962077140808,2.65719604492188,2.68300294876099,2.70905995368958,2.73537039756775,2.76193618774414,2.7887601852417,2.7969753742218,2.80521464347839,2.81347823143005,2.82176613807678,2.83007836341858,2.8585422039032,2.88729238510132,2.91633176803589,2.9456627368927,2.97528910636902,3.00521349906921,3.03543877601624,3.06596803665161,3.09680438041687,3.12795066833496,3.13874697685242,3.14963102340698,3.16060328483582
